"","ตารางเปรียบเทียบจำนวนผู้โดยสารที่ใช้ระบบขนส่งสาธารณะในกรุงเทพมหานคร ประเภทระบบขนส่งสาธารณะ","ปี 2556","ปี 2557","ปี 2558","ปี 2559","ปี 2560","ปี 2561","ปี 2562","ปี 2563","ปี 2564","ปี 2565","ปี 2566","ปี 2567","ปี 2568"
"","รถโดยสารประจำทาง (ขสมก.)","326,284,089","305,673,068","313,703,650","299,771,363","293,649,094","382,175,164","372,621,126","259,706,874","174,733,078","187,718,606","145,336,827","204,682,119","181,255,170"
"","รถโดยสารด่วนพิเศษ BRT","5,570,456","6,488,510","6,885,299","7,053,342","5,326,369","4,557,504","4,649,783","3,306,450","1,891,145","2,471,699","3,478,056","476,934","2,658,903"
"","รถไฟฟ้า BTS สายสีเขียว","214,962,000","229,302,191","241,114,462","248,642,141","252,728,693","252,693,628","272,019,716","182,192,995","108,173,568","194,380,472","264,681,419","266,178,897","261,821,662"
"","รถไฟฟ้า MRT สายสีน้ำเงิน","86,435,968","92,437,991","95,018,696","100,369,988","107,540,778","113,711,335","123,621,585","95,598,532","53,529,435","99,001,410","143,377,284","157,152,833","151,866,231"
"","รถไฟฟ้า MRT สายสีม่วง","-","-","-","3,074,389","11,626,990","17,644,588","19,726,225","16,836,638","9,841,934","16,151,207","21,508,224","24,719,226","24,410,982"
"","Airport Rail Link (city line)","15,378,328","17,003,220","19,374,527","21,182,496","22,635,603","23,571,046","25,855,512","14,934,407","7,954,371","15,825,943","22,556,694","24,193,675","24,501,757"
"","รถไฟฟ้า BTS สายสีทอง","-","-","-","","","","","","677,447","1,353,321","2,460,511","2,776,189","2,707,252"
"","รถไฟฟ้าสายสีแดง (สายเหนือ)","-","-","-","","","","","","926,272","4,460,626","6,636,376","9,238,671","10,397,173"
"","รถไฟฟ้าสายสีแดง (สายตะวันตก)","-","-","-","","","","","","68,969","339,712","496,668","697,550","805,408"
"","รถไฟฟ้าสายสีเหลือง","-","-","-","","","","","","","","7,474,368","14,302,343","16,223,715"
"","รถไฟฟ้าสายสีชมพู","-","-","-","","","","","","","","3,347,461","20,190,507","21,458,078"
"","*หมายเหตุ : หน่วยเป็นเที่ยวคน (ridership)","","","","","","","","","","","","724,608,944.00","698,106,331.00"
"","Dashboard: https://BMA-Statistics-PW.github.io/Bangkok_urban_Transport/","","","","","","","","","","","","",""
"","กลุ่มงานสถิติและวิจัย กองนโยบายและแผนงาน สำนักการจราจรและขนส่ง","","","","","","","","","","","","",""
"","© Prapawadee_W.","","","","","","","","","","","","",""
