"สัดส่วนการเดินทางด้วยระบบขนส่งสาธารณะในเขตเมืองต่อการเดินทางในกรุงเทพฯ และปริมณฑล ปี 2560 - ปี 2567 ","ปี 2560","ปี 2561","ปี 2562","ปี 2563","ปี 2564","ปี 2565","หน่วย: ล้านคน-เที่ยวต่อปี ปี 2566","ปี 2567"
"BTS สายสีเขียว","252.73","252.69","247.6","236.94","107.55","194.38","184.88","266.17"
"MRT สายสีน้ำเงิน","119.17","113.71","143.35","112.44","56.39","98.78","142.36","157.15"
"MRT สายสีม่วง","","17.64","","","","16.12","21.32","24.72"
"ARL","22.52","23.11","26.15","14.92","15.37","16.03","45.21","24.19"
"SRT","","","","","","4.8","7.84","11.39"
"รถไฟ","7.84","6.78","8.99","6.36","3.5","2.64","17.8","5.92"
"BTS สายสีทอง","","","","","","1.35","2.46","2.77"
"MRT สายสีเหลือง","","","","","","","9.03","14.3"
"MRT สายสีชมพู","","","","","","","3.38","20.19"
"BRT","5.82","4.56","4.65","3.31","1.71","2.47","2.05","3.72"
"รถประจำทาง","2,233.76","2,227.50","2,574.00","1,759.09","729.44","958.98","1,233.54","662.84"
"รถตู้","211","204.6","142.23","58.54","116.16","106.26","113.85","127.64"
"เรือ","71.9","69.28","71.81","37.48","20.62","40.92","43.61","49.26"
"รวม","2,924.74","2,919.88","3,218.78","2,229.08","1,050.74","1,442.73","1,827.33","1,370.26"
"ค่าเฉลี่ยเที่ยวต่อ (คน-เที่ยวต่อวัน)","1.32","1.49","1.49","1.49","1.49","1.49","1.49","1.38"
"รวมจำนวนเที่ยวสาธารณะ","2,215.71","1,959.65","2,160.26","1,496.03","705.19","968.28","1,226.40","1,068.43"
"ปริมาณผู้เดินทางรวม (PV+PT)","10,783.77","10,949.40","11,124.30","9,580.02","8,522.10","9,892.40","8,479.84","9,121.20"
"สัดส่วนสาธารณะ","20.55%","17.90%","19.42%","15.62%","8.27%","9.79%","14.46%","11.71%"
"สัดส่วนระบบรถส่วนบุคคล","79.45%","82.10%","80.58%","84.38%","91.73%","90.21%","85.54%","88.29%"
